timestamp	rpm_diesel	power_generator	poz_kont_sec
1575814464	0	0	0
1575814467	0	0	0
1575814470	0	0	0
1575814473	0	0	0
1575814476	0	0	0
1575814479	0	0	0
1575814482	0	0	0
1575814485	0	0	0
1575814488	0	0	0
1575814491	0	0	0
1575814494	0	0	0
1575814497	0	0	0
1575814500	0	0	0
1575814503	0	0	0
1575814506	0	0	0
1575814509	0	0	0
1575814512	0	0	0
1575814515	0	0	0
1575814518	0	0	0
1575814521	0	0	0
1575814524	0	0	0
1575814527	0	0	0
1575814530	0	0	0
1575814533	0	0	0
1575814536	0	0	0
1575814539	0	0	0
1575814542	0	0	0
1575814545	0	0	0
1575814548	0	0	0
1575814551	0	0	0
1575814554	0	0	0
1575814557	0	0	0
1575814560	0	0	0
1575814563	0	0	0
1575814566	0	0	0
1575814569	0	0	0
1575814572	0	0	0
1575814575	0	0	0
1575814578	0	0	0
1575814581	0	0	0
1575814584	0	0	0
1575814587	0	0	0
1575814590	0	0	0
1575814593	0	0	0
1575814596	0	0	0
1575814599	0	0	0
1575814602	0	0	0
1575814605	0	0	0
1575814608	0	0	0
1575814611	0	0	0
1575814614	0	0	0
1575814617	0	0	0
1575814620	0	0	0
1575814623	0	0	0
1575814626	0	0	0
1575814629	0	0	0
1575814632	0	0	0
1575814635	0	0	0
1575814638	0	0	0
1575814641	0	0	0
1575814644	0	0	0
1575814647	0	0	0
1575814650	0	0	0
1575814653	0	0	0
1575814656	0	0	0
1575814659	0	0	0
1575814662	0	0	0
1575814665	0	0	0
1575814668	0	0	0
1575814671	0	0	0
1575814674	0	0	0
1575814677	0	0	0
1575814680	0	0	0
1575814683	0	0	0
1575814686	0	0	0
1575814689	0	0	0
1575814692	0	0	0
1575814695	0	0	0
1575814698	0	0	0
1575814701	0	0	0
1575814704	0	0	0
1575814707	0	0	0
1575814710	0	0	0
1575814713	0	0	0
1575814716	0	0	0
1575814719	0	0	0
1575814722	0	0	0
1575814725	0	0	0
1575814728	0	0	0
1575814731	0	0	0
1575814734	0	0	0
1575814737	0	0	0
1575814740	0	0	0
1575814743	0	0	0
1575814746	0	0	0
1575814749	0	0	0
1575814752	0	0	0
1575814755	0	0	0
1575814758	0	0	0
1575814761	0	0	0
1575814764	0	0	0
1575814767	0	0	0
1575814770	0	0	0
1575814773	0	0	0
1575814776	0	0	0
1575814779	0	0	0
1575814782	0	0	0
1575814785	0	0	0
1575814788	0	0	0
1575814791	0	0	0
1575814794	0	0	0
1575814797	0	0	0
1575814800	0	0	0
1575814803	0	0	0
1575814806	0	0	0
1575814809	0	0	0
1575814812	0	0	0
1575814815	0	0	0
1575814818	0	0	0
1575814821	0	0	0
1575814824	0	0	0
1575814827	0	0	0
1575814830	0	0	0
1575814833	0	0	0
1575814836	0	0	0
1575814839	0	0	0
1575814842	0	0	0
1575814845	0	0	0
1575814848	0	0	0
1575814851	0	0	0
1575814854	0	0	0
1575814857	0	0	0
1575814860	0	0	0
1575814863	0	0	0
1575814866	0	0	0
1575814869	0	0	0
1575814872	0	0	0
1575814875	0	0	0
1575814878	0	0	0
1575814881	0	0	0
1575814884	0	0	0
1575814887	0	0	0
1575814890	0	0	0
1575814893	0	0	0
1575814896	0	0	0
1575814899	0	0	0
1575814902	0	0	0
1575814905	0	0	0
1575814908	0	0	0
1575814911	0	0	0
1575814914	0	0	0
1575814917	0	0	0
1575814920	0	0	0
1575814923	0	0	0
1575814926	0	0	0
1575814929	0	0	0
1575814932	0	0	0
1575814935	0	0	0
1575814938	0	0	0
1575814941	0	0	0
1575814944	0	0	0
1575814947	0	0	0
1575814950	0	0	0
1575814953	0	0	0
1575814956	0	0	0
1575814959	0	0	0
1575814962	0	0	0
1575814965	0	0	0
1575814968	0	0	0
1575814971	0	0	0
1575814974	0	0	0
1575814977	0	0	0
1575814980	0	0	0
1575814983	0	0	0
1575814986	0	0	0
1575814989	0	0	0
1575814992	0	0	0
1575814995	0	0	0
1575814998	0	0	0
1575815001	0	0	0
1575815004	0	0	0
1575815007	0	0	0
1575815010	0	0	0
1575815013	0	0	0
1575815016	0	0	0
1575815019	0	0	0
1575815022	0	0	0
1575815025	0	0	0
1575815028	0	0	0
1575815031	0	0	0
1575815034	0	0	0
1575815037	37	0	0
1575815040	140	0	0
1575815043	242	0	0
1575815046	328	0	0
1575815049	341	0	1
1575815052	341	0	0
1575815055	343	0	0
